// Compost colors for gtnn. You may add your own colors, change existing ones, or remove colors that aren't needed.
bohrium_strontium_carbonate_boule, #3487cf
heavy_plate_t1, #7c7d80
heavy_plate_t2, #827f7a
heavy_plate_t3, #7c7970
heavy_plate_t4, #8d8279
intravital_soc, #f491ff
inverter, #7a8070
manifold_oscillatory_power_cell, #7f8483
max_wrap_circuit, #9b9b97
nano_pic_chip, #5a5e3e
nano_pic_wafer, #5c643d
neutron_source, #ffffff
optical_assembly, #da9d76
optical_circuit_board, #fff447
optical_computer, #bc8661
optical_imc_board, #ff930e
optical_mainframe, #af9687
optical_printed_circuit_board, #eee397
optical_processor, #eeac76
optical_smd_capacitor, #7f7d9a
optical_smd_diode, #845fb5
optical_smd_inductor, #a452a1
optical_smd_resistor, #caabb9
optical_smd_transistor, #af8ebc
optical_wrap_circuit_board, #fff447
optical_wrap_printed_circuit_board, #eee397
opv_wrap_circuit, #a09e91
photoelectron_soc, #9e782c
pico_pic_chip, #5a5a3e
pico_pic_wafer, #5f623e
plate_radiation_protection, #d9abe0
quark_core, #7a0eff
radioactive_waste, #2d180f
ruby_chip, #cc232f
ruby_modulator, #8c4e4e
sapphire_chip, #2048cc
sapphire_modulator, #4b658d
spintronic_assembly, #b16bae
spintronic_circuit_board, #292f32
spintronic_computer, #a472a7
spintronic_mainframe, #9d8ca5
spintronic_printed_circuit_board, #374048
spintronic_processor, #bc6c9b
spintronic_smd_capacitor, #6c8d91
spintronic_smd_diode, #73a7cc
spintronic_smd_inductor, #7c909d
spintronic_smd_resistor, #b8ccb2
spintronic_smd_transistor, #83c6b4
spintronic_wrap_circuit_board, #292f32
spintronic_wrap_printed_circuit_board, #374048
strontium_carbonate_wafer, #7894b2
supracausal_assembly, #a49e90
supracausal_computer, #a09e91
supracausal_mainframe, #9b9b97
supracausal_processor, #c0b294
supracausal_smd_capacitor, #969498
supracausal_smd_diode, #878c83
supracausal_smd_inductor, #76727d
supracausal_smd_resistor, #aeb1ab
supracausal_smd_transistor, #84828e
t1_chip, #2d550a
t2_chip, #6e4726
t3_chip, #527a72
t4_chip, #ffffff
uev_wrap_circuit, #706951
uhv_wrap_circuit, #bc6c9b
uiv_wwrap_circuit, #c0b294
uv_wrap_circuit, #eeac76
uxv_wrap_circuit, #a49e90
wrap_cosmic_smd_capacitor, #1b484a
wrap_cosmic_smd_diode, #545583
wrap_cosmic_smd_inductor, #554351
wrap_cosmic_smd_resistor, #616b4d
wrap_cosmic_smd_transistor, #486450
wrap_optical_smd_capacitor, #7f7d9a
wrap_optical_smd_diode, #845fb5
wrap_optical_smd_inductor, #a452a1
wrap_optical_smd_resistor, #caabb9
wrap_optical_smd_transistor, #af8ebc
wrap_spintronic_smd_capacitor, #6c8d91
wrap_spintronic_smd_diode, #73a7cc
wrap_spintronic_smd_inductor, #7c909d
wrap_spintronic_smd_resistor, #b8ccb2
wrap_spintronic_smd_transistor, #83c6b4
zpm_wrap_circuit, #bfeebf
